Carrer Jaume Canalias i Amat;Jaume Canalias i Amat;;-0.5;Male
Carrer de Francesc Pi i Margall;Francesc Pi i Margall;;-0.5;Male
Carrer Miquel;Miquel;;-1.0;Male
Carrer de l'Abat Escarré;Abat Escarré;;-0.5;Male
Carrer Ramon Llull;Ramon Llull;;-0.5;Male
Carrer Joan Burgada;Joan Burgada;;0.65;Female
Carrer Pedro Bas Pérez;Pedro Bas Pérez;;-0.5;Male
Carrer Joan Maragall;Joan Maragall;;0.65;Female
Camí del Pont d'en Torres;Pont en Torres;;-0.83;Male
Carrer de Joan Martí;Joan Martí;;-0.5;Male
Carrer de Salvador Allende;Salvador Allende;;-0.5;Male
Carrer Doctor Antoni Pujades;Doctor Antoni Pujades;;-0.5;Male
Carrer Lluís Pascual Roca;Lluís Pascual Roca;;-0.5;Male
Carrer de Lluís Castells;Lluís Castells;;-0.5;Male
Carrer de Mossèn Alfons Ramírez;Mossèn Alfons Ramírez;;-0.5;Male
Carrer d'Oviedo;Oviedo;;-1.0;Male
Carrer Santiago Ramón y Cajal;Santiago Ramón y Cajal;;-1.0;Male
Carrer Victor Balaguer;Victor Balaguer;;-0.99;Male
Carrer Josep Torres i Bages;Josep Torres i Bages;;-0.5;Male
Carrer de Carles Martí i Vilà;Carles Martí i Vilà;;-1.0;Male
Carrer de Joan Batista Milà i Rebull;Joan Batista Milà i Rebull;;0.65;Female
Carrer Comte Borrell;Comte Borrell;;-1.0;Male
Camí de la Riera de Bertran;Riera Bertran;;-0.5;Male
Carrer de Miguel Cervantes;Miguel Cervantes;;-1.0;Male
Carrer Vermell;Vermell;;1.0;Female
