calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Pasaje Juan Salvo;Juan Salvo;Juan;Salvo;-2;Male;-;-;
Pasaje Mariano de los Santos;Mariano Santos;Mariano;Santos;-2;Male;-;-;
Pasaje Cesar Vallejo;Pasaje Cesar jo;Pasaje;Cesar;-2;Male;-;-;
Calle Narciso Arestegui;Narciso Arestegui;Narciso;Arestegui;-2;Male;-;-;
Tomasa Ttito Condemayta;Tomasa Ttito Condemayta;Tomasa;Ttito;2;Female;-;-;https://es.wikipedia.org/wiki/Tomasa_Tito_Condemayta
Pasaje Tupac Amaru;Tupac Amaru;Tupac;Amaru;-2;Male;-;-;
Avenida Ramon Zavaleta;Ramon Zavaleta;Ramon;Zavaleta;-2;Male;-;-;
Avenida M.A. Paz;M.A. Paz;M.A.;Paz;2;Female;-;-;
Portal de Belen;Portal de Belen;Portal;de;2;Female;-;-;https://es.wikipedia.org/wiki/Berta_de_Blangy
Calle Bernardo Tambowacso P.;Bernardo Tambowacso P.;Bernardo;Tambowacso;-2;Male;-;-;
Ernesto Gunther;Ernesto Gunther;Ernesto;Gunther;-2;Male;-;-;
Pasaje Santo Domingo;Santo Domingo;Santo;Domingo;-2;Male;-;-;
Apu Mama Simona Trail;Apu Mama Simona Trail;Apu;Mama;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Simon_Pazmi%C3%B1o
Calle Tomasa Ttito Condemayta;Tomasa Ttito Condemayta;Tomasa;Ttito;2;Female;-;-;https://es.wikipedia.org/wiki/Tomasa_Tito_Condemayta
Calle Andres A. Caceres;Andres A. Caceres;Andres;A.;-2;Male;-;-;
Ramon Castilla;Ramon Castilla;Ramon;Castilla;-2;Male;-;-;
Calle Dionicio Irrazabal;Dionicio Irrazabal;Dionicio;Irrazabal;-2;Male;-;-;
Calle San Agustin;San Agustin;San;Agusti­n;-2;Male;-;-;
Calle Clorinda Matto de Turner;Clorinda Matto Turner;Clorinda;Matto;2;Female;-;-;https://es.wikipedia.org/wiki/Clorinda_Matto_de_Turner
Avenida Fernando Tupac Amaru;Fernando Tupac Amaru;Fernando;Tupac;-2;Male;-;-;
Calle Rosa Tupac Amaru;Rosa Tupac Amaru;Rosa;Tupac;2;Female;-;-;
Jiron Antonio Bastidas;Jiron Antonio Bastidas;Jiron;Antonio;-2;Male;-;-;
Calle Miguel Bastidas;Miguel Bastidas;Miguel;Bastidas;-2;Male;-;-;
Prolongacion Avenida Tupac Amaru Sisa;Prolongacion  Tupac Amaru Sisa;Prolongacion;;-2;Male;-;-;
Avenida Bernardo Tambowacso;Bernardo Tambowacso;Bernardo;Tambowacso;-2;Male;-;-;
Calle Pedro Mendigure;Pedro Mendigure;Pedro;Mendigure;-2;Male;-;-;
Fray Domingo Cabrera;Fray Domingo Cabrera;Fray;Domingo;-2;Male;-;-;
Prolongacion Ramon Castilla;Prolongacion Ramon Castilla;Prolongacion;Ramon;-2;Male;-;-;
Calle Tupac Amaru (Umahuasi);Tupac Amaru (Umahuasi);Tupac;Amaru;-2;Male;-;-;
Leoncio Prado;Leoncio Prado;Leoncio;Prado;-2;Male;-;-;
Jose Galvez;Jose Galvez;Jose;Galvez;-2;Male;-;-;
Avenida Fernando Tupac Amaru , Cusco;Fernando Tupac Amaru , Cusco;Fernando;Tupac;-2;Male;-;-;
Calle Jose Carlos Mariategui;Jose Carlos Mariategui;Jose;Carlos;-2;Male;-;-;
San Martin;San Martin;San;Martin;-2;Male;-;-;
Calle Ciro Alegria;Ciro Alegria;Ciro;Alegria;-2;Male;-;-;
Calle Miguel Grau;Miguel Grau;Miguel;Grau;-2;Male;-;-;
Calle Hilario Mendivil;Hilario Mendivil;Hilario;Mendivil;-2;Male;-;-;
Calle San Juan;San Juan;San;Juan;-2;Male;-;-;
Calle Ignacio Ferro;Ignacio Ferro;Ignacio;Ferro;-2;Male;-;-;
Avenida Juan Velasco Alvarado;Juan Velasco Alvarado;Juan;Velasco;-2;Male;-;-;
Avenida Almudena;Almudena;Almudena;;2;Female;-;-;https://es.wikipedia.org/wiki/Virgen_de_la_Almudena
