calle,calleClean,name,surname,fiabilidad,gender,wikipedia
Rufino Ortega,Rufino Ortega,Rufino,Ortega,-2,Male,
General Manuel Belgrano,General Manuel Belgrano,General,Manuel,-2,Male,
Avenida Juan José Paso,Juan José Paso,Juan,José,-2,Male,
Franklin,Franklin,Franklin,,-2,Male,
Bulevar Argentino,Bulevar Argentino,Bulevar,Argentino,-2,Male,
Craig,Craig,Craig,,-2,Male,
Jorge Kay,Jorge Kay,Jorge,Kay,-2,Male,
Benito,Benito,Benito,,-2,Male,
José Schle,José Schle,José,Schle,-2,Male,
Darwin,Darwin,Darwin,,-2,Male,
Moreau De Justo,Moreau De Justo,Moreau,De,-2,Male,
Tupac Amaru,Tupac Amaru,Tupac,Amaru,-2,Male,
Angel Carranza,Angel Carranza,Angel,Carranza,-2,Male,
Ángel Carranza,Ángel Carranza,Ángel,Carranza,-2,Male,
Jose Colombres,Jose Colombres,Jose,Colombres,-2,Male,
Pérez Bulnes,Pérez Bulnes,Pérez,Bulnes,-2,Male,
Hudson,Hudson,Hudson,,-2,Male,
Pasaje Marti,Marti,Marti,,-2,Male,
Marti,Marti,Marti,,-2,Male,
Pelayo,Pelayo,Pelayo,,-2,Male,
Gabriel Carrasco,Gabriel Carrasco,Gabriel,Carrasco,-2,Male,
Juan Díaz de Solís,Juan Díaz de Solís,Juan,Díaz,-2,Male,
Alfredo Rouillón,Alfredo Rouillón,Alfredo,Rouillón,-2,Male,
Emilio Conesa,Emilio Conesa,Emilio,Conesa,-2,Male,
Vicente Fidel López,Vicente Fidel López,Vicente,Fidel,-2,Male,
Felipe Moré,Felipe Moré,Felipe,Moré,-2,Male,
Camilo Aldao,Camilo Aldao,Camilo,Aldao,-2,Male,
Pasaje San Gerónimo,San Gerónimo,San,Gerónimo,-2,Male,
Rubén Darío,Rubén Darío,Rubén,Darío,-2,Male,
Aristóteles,Aristóteles,Aristóteles,,-2,Male,
Humberto Primero,Humberto o,Humberto,o,-2,Male,
Garcia Manzo,Garcia Manzo,Garcia,Manzo,-2,Male,
San Geronimo,San Geronimo,San,Geronimo,-2,Male,
Pasaje San Jerónimo,San Jerónimo,San,Jerónimo,-2,Male,
Carles,Carles,Carles,,-2,Male,
Tomás Guido,Tomás Guido,Tomás,Guido,-2,Male,
Benjamín Matienzo,Benjamín Matienzo,Benjamín,Matienzo,-2,Male,
Ricardo Rojas,Ricardo Rojas,Ricardo,Rojas,-2,Male,
Juan Francisco Seguí,Juan Francisco Seguí,Juan,Francisco,-2,Male,
Crisologo Larralde,Crisologo Larralde,Crisologo,Larralde,-2,Male,
Fernando Fader,Fernando Fader,Fernando,Fader,-2,Male,
Anderson,Anderson,Anderson,,-2,Male,
Arturo Jauretche,Arturo Jauretche,Arturo,Jauretche,-2,Male,
Juan Ferrarotti,Juan Ferrarotti,Juan,Ferrarotti,-2,Male,
Ricardo Lagos,Ricardo Lagos,Ricardo,Lagos,-2,Male,
Eduardo Favario,Eduardo Favario,Eduardo,Favario,-2,Male,
Juan Pablo XXIII,Juan Pablo XXIII,Juan,Pablo,-2,Male,
Avenida Alfredo Rouillón,Alfredo Rouillón,Alfredo,Rouillón,-2,Male,
Simon Wiesenthal,Simon Wiesenthal,Simon,Wiesenthal,-2,Male,
Pascual Rosas,Pascual Rosas,Pascual,Rosas,-2,Male,
Néstor Grenon,Néstor Grenon,Néstor,Grenon,-2,Male,
Benito Rodríguez,Benito Rodríguez,Benito,Rodríguez,-2,Male,
