calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Bouchard,Bouchard,,-1.0,Male,
Bouchard,Bouchard,,-1.0,Male,
Cabo Chioffi,Cabo Chioffi,,-1.0,Male,
Cacique,Cacique,,-1.0,Male,
Campos Salles,Campos Salles,,-1.0,Male,
Cándido López,Cándido López,,-1.0,Male,
Cantilo,Cantilo,,-1.0,Male,
Cañada de Gómez,Gómez,,-1.0,Male,
Cañada de Gómez,Gómez,,-1.0,Male,
Capitán Rojas,Capitán Rojas,,-1.0,Male,
Capitán Sarmiento,Capitán Sarmiento,,-1.0,Male,
Capitán Sarmiento,Capitán Sarmiento,,-1.0,Male,
Cardenal Cagliero,Cardenal Cagliero,,-1.0,Male,
Cardoso,Cardoso,,-1.0,Male,
Carlos Gardel,Carlos Gardel,,-1.0,Male,
Carlos Gardel,Carlos Gardel,,-1.0,Male,
Carlos Gardel,Carlos Gardel,,-1.0,Male,
Carlos Gómez,Carlos Gómez,,-1.0,Male,
Casco,Casco,,-1.0,Male,
Catriel,Catriel,,-1.0,Male,
Catriel,Catriel,,-1.0,Male,
Charles Darwin,Charles Darwin,,-1.0,Male,
Ciclovía Sarmiento,Ciclovía Sarmiento,,-1.0,Male,
Cisneros,Cisneros,,-1.0,Male,
Clemenceau,Clemenceau,,-1.0,Male,
Comandante Francisco Carbonari,Comandante Francisco Carbonari,,-1.0,Male,
Comandante Francisco Carbonari,Comandante Francisco Carbonari,,-1.0,Male,
Comandante Franco,Comandante Franco,,-1.0,Male,
Comandante Lucena,Comandante Lucena,,-1.0,Male,
Comandante Lucena,Comandante Lucena,,-1.0,Male,
Comandante Pedro Nuñez,Comandante Pedro Nuñez,,-1.0,Male,
Combate Malvinas C. Sereno,Combate Malvinas  Sereno,,-1.0,Male,
Comisario Gutiérrez,Comisario Gutiérrez,,-1.0,Male,
Comodoro Pedro Zanni,Comodoro Pedro Zanni,,-1.0,Male,
Concejal Noya,Concejal Noya,,-1.0,Male,
Conscripto J. C. Lena,Conscripto J.  Lena,,-1.0,Male,
Constancio Cecilio Vigil,Constancio Cecilio Vigil,,-1.0,Male,
Constancio Vigil,Constancio Vigil,,-1.0,Male,
Copernico,Copernico,,-1.0,Male,
Copérnico,Copérnico,,-1.0,Male,
Copérnico,Copérnico,,-1.0,Male,
Coronel A. Ávalos,Coronel  Ávalos,,-1.0,Male,
Coronel Adrogué,Coronel Adrogué,,-1.0,Male,
Coronel Albariños,Coronel Albariños,,-1.0,Male,
Coronel Allende,Coronel Allende,,-1.0,Male,
Coronel Aquino,Coronel Aquino,,-1.0,Male,
Coronel Arévalo,Coronel Arévalo,,-1.0,Male,
Coronel Bogado,Coronel Bogado,,-1.0,Male,
Coronel Burelas,Coronel Burelas,,-1.0,Male,
Coronel Cárdenas,Coronel Cárdenas,,-1.0,Male,
Coronel Chilavert,Coronel Chilavert,,-1.0,Male,
Coronel Chilavert,Coronel Chilavert,,-1.0,Male,
Coronel de Marina Tomás Espora,Coronel de Marina Tomás Espora,,-1.0,Male,
Coronel Díaz,Coronel Díaz,,-1.0,Male,
Coronel Díaz,Coronel Díaz,,-1.0,Male,
Coronel Dorrego,Coronel Dorrego,,-1.0,Male,
Coronel Dorrego,Coronel Dorrego,,-1.0,Male,
Coronel Esteban Bonorino,Coronel Esteban Bonorino,,-1.0,Male,
Coronel Estibau,Coronel Estibau,,-1.0,Male,
Coronel Llorente,Coronel Llorente,,-1.0,Male,
Coronel Lucero,Coronel Lucero,,-1.0,Male,
Coronel Lucero,Coronel Lucero,,-1.0,Male,
Coronel Luna,Coronel Luna,,-1.0,Male,
Coronel Lynch,Coronel Lynch,,-1.0,Male,
Coronel Manuel Dorrego,Coronel Manuel Dorrego,,-1.0,Male,
Coronel Manuel Rosetti,Coronel Manuel Rosetti,,-1.0,Male,
Coronel Martiniano Chilavert,Coronel Martiniano Chilavert,,-1.0,Male,
Coronel Martiniano Chilavert,Coronel Martiniano Chilavert,,-1.0,Male,
Coronel Méndez,Coronel Méndez,,-1.0,Male,
