calle,calle filtrada,calle filtrada2,factor fiabilidad,gender,wikipedia
Plaça Isabel de Villena,Isabel Villena,,0.99,Female,https://es.wikipedia.org/wiki/Isabel_de_Villena
Plaça Maria Aurèlia Capmany,Maria Aurèlia Capmany,,0.99,Female,https://es.wikipedia.org/wiki/Maria_Aur%C3%A8lia_Capmany
Placeta de María Luz Morales,María Luz Morales,,0.99,Female,https://es.wikipedia.org/wiki/Mar%C3%ADa_Luz_Morales
Ptge. Maria Àngels Rivas,Maria Àngels Rivas,,0.99,Female,
Avinguda de Santa Rosa,Santa Rosa,,0.98,Female,https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Carrer d'Antònia Macià,Antònia Macià,,0.98,Female,https://es.wikipedia.org/wiki/Ant%C3%B2nia_Maci%C3%A0
Carrer de la Marquesa,Marquesa,,0.98,Female,
Carrer de la Marquesa de Vilallonga,Marquesa Vilallonga,,0.98,Female,
Carrer de Santa Anna,Santa Anna,,0.98,Female,https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Carrer de Santa Anna,Santa Anna,,0.98,Female,https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
