calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Abrevadero Barrio el Indio,Abrevadero Barrio el Indio,,-0.39,Male,
Doctor Víctor Armand Ugon,Doctor Víctor Armand Ugon,,-0.5,Male,
Camino Talice,Talice,,-0.5,Male,
Mercurio,Mercurio,,-0.5,Male,
Júpiter,Júpiter,,-0.5,Male,
Profesor Ariosto Fernández,Profesor Ariosto Fernández,,-0.5,Male,
Santos Vega,Santos Vega,,-0.32,Male,
Del Aquai,Del Aquai,,-0.37,Male,
Camino al Saint Bois,al Saint Bois,,-0.96,Male,
Camino Colman,Colman,,-0.5,Male,
Doctor Alfredo Massa,Doctor Alfredo Massa,,-0.5,Male,
Padre Pablo Pittini,Padre Pablo Pittini,,-0.5,Male,
Hilario Cabrera,Hilario Cabrera,,-0.5,Male,
Fernando Menck,Fernando Menck,,-0.5,Male,
Pasaje Rocinante Barrio las Cañas,Rocinante Barrio las Cañas,,-0.32,Male,
Pasaje Delfos Barrio las Cañas,Delfos Barrio las Cañas,,-1.0,Male,
Continuación Carlos Ott Barrio las Cañas,Continuación Carlos Ott Barrio las Cañas,,-0.99,Male,
Camino José Durán,José Durán,,-0.3,Male,
El Chajá,El Chajá,,-0.39,Male,
Doctor Ramón Landivar,Doctor Ramón Landivar,,-0.5,Male,
Doctor Elbio J Dodera,Doctor Elbio J Dodera,,-0.49,Male,
Camino Carlos A. López,Carlos A. López,,-0.99,Male,
Luis Lasagna,Luis Lasagna,,-0.5,Male,
Roberto Wettstein,Roberto Wettstein,,-0.99,Male,
Doctor Antonio Anzalone,Doctor Antonio Anzalone,,-0.5,Male,
Juan P Lamolle,Juan P Lamolle,,-0.99,Male,
Volta,Volta,,-0.35,Male,
Domingo Basso,Domingo Basso,,-1.0,Male,
Cornelio Guerra,Cornelio Guerra,,-0.5,Male,
Galileo,Galileo,,-0.5,Male,
Antonio Rubio,Antonio Rubio,,-0.5,Male,
Juan de la Cosa,Juan de la Cosa,,-0.5,Male,
Pasaje Watin Barrio las Cañas,Watin Barrio las Cañas,,-0.69,Male,
Pasaje Graña Barrio las Cañas,Graña Barrio las Cañas,,-0.69,Male,
Fray Anton de Montesinos,Fray Anton de Montesinos,,-0.5,Male,
Sendero el Progreso Barrio las Palmas,el Progreso Barrio las Palmas,,-0.81,Male,
Rodrigo de Triana,Rodrigo de Triana,,-0.5,Male,
Juan Bonmesadri,Juan Bonmesadri,,-0.99,Male,
Carlos Ott,Carlos Ott,,-0.99,Male,
Roman Freire,Roman Freire,,-0.5,Male,
Victoriano Álvarez,Victoriano Álvarez,,-1.0,Male,
Andrés,Andrés,,-0.5,Male,
Perfecto Giot,Perfecto Giot,,-0.5,Male,
Continuación Aparicio Saravia,Continuación Aparicio Saravia,,-0.5,Male,
Doctor Valentin Álvarez,Doctor Valentin Álvarez,,-0.5,Male,
Bulevar Aparicio Saravia,Bulevar Aparicio Saravia,,-0.5,Male,
Coronel José María Navajas,Coronel José María Navajas,,-0.5,Male,
Marcos Passadore,Marcos Passadore,,-0.5,Male,
Al Paso Calpino,Al  Calpino,,-0.48,Male,
Luis Martins,Luis Martins,,-0.5,Male,
José Pedro Argul,José Pedro Argul,,-0.42,Male,
Camino Manuel Fortet,Manuel Fortet,,-0.5,Male,
Carlos Giucci,Carlos Giucci,,-0.99,Male,
Santiago de Compostela,Santiago de Compostela,,-1.0,Male,
Domingo Dente,Domingo Dente,,-1.0,Male,
Julio Martínez Oyanguren,Julio Martínez Oyanguren,,-0.5,Male,
Manuel Rosé,Manuel Rosé,,-0.5,Male,
