Rosario Castellanos;Rosario Castellanos;;0.9;female;https://es.wikipedia.org/wiki/Rosario_Castellanos
Rosario Castellanos;Rosario Castellanos;;0.9;female;https://es.wikipedia.org/wiki/Rosario_Castellanos
Rosaura Zapata;Rosaura Zapata;;1.0;female;https://es.wikipedia.org/wiki/Rosaura_Zapata
Rosaura Zapata;Rosaura Zapata;;1.0;female;https://es.wikipedia.org/wiki/Rosaura_Zapata
Rosita Alvirez;Rosita Alvirez;;1.0;female;
Rosita Alvirez;Rosita Alvirez;;1.0;female;
Primera Rosita Quintana;Rosita Quintana;;1.0;female;https://es.wikipedia.org/wiki/Rosita_Quintana
Rosita Quintana;Rosita Quintana;;1.0;female;https://es.wikipedia.org/wiki/Rosita_Quintana
Ruth Rivera Marin;Ruth Rivera Marin;;0.99;female;https://es.wikipedia.org/wiki/Ruth_Rivera_Mar%C3%ADn
A. Sánchez Molina;Sánchez Molina;;0.96;female;
Santa Adriana;Santa Adriana;;1.0;female;https://es.wikipedia.org/wiki/Ariadna_de_Frigia
Santa Adriana;Santa Adriana;;1.0;female;https://es.wikipedia.org/wiki/Ariadna_de_Frigia
Santa Ana;Santa Ana;;1.0;female;https://es.wikipedia.org/wiki/Ana_Line
Santa Ana;Santa Ana;;1.0;female;https://es.wikipedia.org/wiki/Ana_Line
Santa Ana;Santa Ana;;1.0;female;https://es.wikipedia.org/wiki/Ana_Line
Santa Ana;Santa Ana;;1.0;female;https://es.wikipedia.org/wiki/Ana_Line
Santa Ana Norte;Santa Ana Norte;;0.94;female;https://es.wikipedia.org/wiki/Ana_Line
Santa Ana Norte;Santa Ana Norte;;0.94;female;https://es.wikipedia.org/wiki/Ana_Line
Santa Ana Sur;Santa Ana Sur;;0.94;female;https://es.wikipedia.org/wiki/Ana_Line
Santa Ana Sur;Santa Ana Sur;;0.94;female;https://es.wikipedia.org/wiki/Ana_Line
Avenida Santa Anita;Santa Anita;;1.0;female;
Avenida Santa Anita;Santa Anita;;1.0;female;
Calz Santa Anita;Santa Anita;;1.0;female;
Calz Santa Anita;Santa Anita;;1.0;female;
Santa Anita;Santa Anita;;1.0;female;
Santa Anita;Santa Anita;;1.0;female;
Santa Anita;Santa Anita;;1.0;female;
Santa Anita;Santa Anita;;1.0;female;
Santa Apolonia;Santa Apolonia;;1.0;female;https://es.wikipedia.org/wiki/Apolonia_de_Alejandr%C3%ADa
Santa Apolonia;Santa Apolonia;;1.0;female;https://es.wikipedia.org/wiki/Apolonia_de_Alejandr%C3%ADa
Santa Balbina;Santa Balbina;;1.0;female;https://es.wikipedia.org/wiki/Balbina_(santa)
Santa Balbina;Santa Balbina;;1.0;female;https://es.wikipedia.org/wiki/Balbina_(santa)
Santa Balbina;Santa Balbina;;1.0;female;https://es.wikipedia.org/wiki/Balbina_(santa)
Santa Balbina;Santa Balbina;;1.0;female;https://es.wikipedia.org/wiki/Balbina_(santa)
Santa Barbara;Santa Barbara;;1.0;female;https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Santa Barbara;Santa Barbara;;1.0;female;https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Santa Bárbara;Santa Bárbara;;1.0;female;https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Santa Bárbara;Santa Bárbara;;1.0;female;https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Santa Bárbara;Santa Bárbara;;1.0;female;https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Santa Bárbara;Santa Bárbara;;1.0;female;https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Santa Bárbara;Santa Bárbara;;1.0;female;https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Santa Bárbara;Santa Bárbara;;1.0;female;https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Santa Bárbara;Santa Bárbara;;1.0;female;https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Santa Bárbara;Santa Bárbara;;1.0;female;https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Isla Santa Catarina;Santa Catarina;;0.77;female;
Isla Santa Catarina;Santa Catarina;;0.77;female;
Santa Catarina;Santa Catarina;;0.77;female;
Santa Catarina;Santa Catarina;;0.77;female;
Santa Catarina;Santa Catarina;;0.77;female;
Santa Catarina;Santa Catarina;;0.77;female;
Av. Santa Cecilia;Santa Cecilia;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Av. Santa Cecilia;Santa Cecilia;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Calzada Santa Cecilia;Santa Cecilia;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Calzada Santa Cecilia;Santa Cecilia;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Hacienda Santa Cecilia;Santa Cecilia;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Hacienda Santa Cecilia;Santa Cecilia;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Santa Cecilia;Santa Cecilia;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Santa Cecilia;Santa Cecilia;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Santa Cecilia;Santa Cecilia;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Santa Cecilia;Santa Cecilia;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Santa Cecilia;Santa Cecilia;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Santa Cecilia;Santa Cecilia;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Central Santa Clara;Santa Clara;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Central Santa Clara;Santa Clara;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Santa Clara;Santa Clara;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Santa Clara;Santa Clara;;1.0;female;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Santa Coleta;Santa Coleta;;0.77;female;https://es.wikipedia.org/wiki/Coleta_(santa)
Santa Coleta;Santa Coleta;;0.77;female;https://es.wikipedia.org/wiki/Coleta_(santa)
Cerrada Santa Elena;Santa Elena;;1.0;female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Cerrada Santa Elena;Santa Elena;;1.0;female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Santa Elena;Santa Elena;;1.0;female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Santa Elena;Santa Elena;;1.0;female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Santa Elena;Santa Elena;;1.0;female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Santa Elena;Santa Elena;;1.0;female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Santa Gertrudis;Santa Gertrudis;;0.78;female;https://es.wikipedia.org/wiki/Gertrudis_de_Helfta
Santa Gertrudis;Santa Gertrudis;;0.78;female;https://es.wikipedia.org/wiki/Gertrudis_de_Helfta
Santa Inés;Santa Inés;;1.0;female;https://es.wikipedia.org/wiki/In%C3%A9s_de_As%C3%ADs
Santa Inés;Santa Inés;;1.0;female;https://es.wikipedia.org/wiki/In%C3%A9s_de_As%C3%ADs
Paso Santa Isabel;Santa Isabel;;1.0;female;https://es.wikipedia.org/wiki/Isabel_(santa)
Paso Santa Isabel;Santa Isabel;;1.0;female;https://es.wikipedia.org/wiki/Isabel_(santa)
