calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Vera Pe√±aloza;Vera Pe√±aloza;Rosario;PeÒaloza;2;Female;https://es.wikipedia.org/wiki/Rosario_Vera_Pe%C3%B1aloza
Martin Fierro;Martin Fierro;MartÌn;Fierro;-2;Male;
Stella Gutierrez;Stella Gutierrez;Stella;GutiÈrrez;2;Female;
Gobernador Jose Gomez;Gobernador Jose Gomez;JosÈ;GÛmez;-2;Male;
Pasaje Guido;Guido;Tom·s;Guido;-2;Male;
Agustin Donado;Agustin Donado;AgustÌn;Donado;-2;Male;
Avenida Vidal;Vidal;Juan;Vidal;-2;Male;
Juan Jose Paso;Juan Jose;Juan JosÈ;Paso;-2;Male;
Juan Jose Castelli;Juan Jose Castelli;Juan JosÈ;Castelli;-2;Male;
Garc√≠a de Cossio;Garc√≠a de Cossio;;GarcÌa de Cossio;-2;Male;
Avenida Ra√∫l Alfons√≠n;Ra√∫l Alfons√≠n;Ra˙l B.;AlfonsÌn;-2;Male;
Don Justino;Don Justino;Justino;;-2;Male;
Ni√±o Jesus;Ni√±o Jesus;Jes˙s;;2;Female;https://es.wikipedia.org/wiki/Jes%C3%BAs_de_Nazaret
Perez Bulnes;Perez Bulnes;;PÈrez Bulnes;-2;Male;
Presidente Nicol√°s Avellaneda;Presidente Nicol√°s ellaneda;Nicol·s;Avellaneda;-2;Male;
Sebastian Gaboto;Sebastian Gaboto;Sebasti·n;Gaboto;-2;Male;
Vidal;Vidal;Juan;Vidal;-2;Male;
Matias Pipet;Matias Pipet;MatÌas;Pipet;-2;Male;
Juan De Gomez;Juan De Gomez;Juan;De GÛmez;-2;Male;
Mar√≠a Edith Davila de Soto;Mar√≠a Edith Davila de Soto;MarÌa Edith;D'Avila de Soto;2;Female;https://es.wikipedia.org/wiki/Mar%C3%ADa_Luisa_Gabriela_de_Saboya
Tulio Marino;Tulio Marino;Tulio;Marino;-2;Male;
Valerio Bonastre;Valerio Bonastre;Valerio;Bonastre;-2;Male;
Profesor Pedro Crespo;Profesor Pedro Crespo;Pedro;Crespo;-2;Male;
Calle Paula Albarrac√≠n;Paula Albarrac√≠n;Paula;AlbarracÌn;2;Female;
Jose Hernandez;Jose Hernandez;Jose;Hern·ndez;-2;Male;
Santa Lucia;Santa Lucia;LucÌa;;2;Female;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Nuestra Se√±ora de la Asunci√≥n;Nuestra Se√±ora de la Asunci√≥n;MarÌa;;2;Female;https://es.wikipedia.org/wiki/Asunci%C3%B3n_de_Mar%C3%ADa
Santa Ercilia;Santa Ercilia;Ercilia;;2;Female;
Avenida Santa Catalina;Santa Catalina;Catalina;;2;Female;https://es.wikipedia.org/wiki/Catalina_de_Alejandr%C3%ADa
