calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Jorge Lobito Martinez,Jorge Lobito Martinez,,-1.0,Male,
Juan José Paso,Juan José,,-1.0,Male,
Juez Enrique Pinho,Juez Enrique Pinho,,-1.0,Male,
juez Enrique Pinho,juez Enrique Pinho,,-1.0,Male,
Lara Castro,Lara Castro,,-1.0,Male,
Leandro Alem,Leandro Alem,,-1.0,Male,
Manuel Villa,Manuel,,-1.0,Male,
Martin de Goicoechea Menendez,Martin de Goicoechea Menendez,,-1.0,Male,
Martin Fierro,Martin Fierro,,-1.0,Male,
Mayor José Rosa Aranda,Mayor José Rosa Aranda,,-1.0,Male,
Melo de Portugal,Melo de Portugal,,-1.0,Male,
Miguel Ángel Rigual,Miguel Ángel Rigual,,-1.0,Male,
Miguel de Cervantes Saavedra,Miguel de Cervantes Saavedra,,-1.0,Male,
Muñoz,Muñoz,,-1.0,Male,
Nicolas Avellaneda,Nicolas ellaneda,,-1.0,Male,
Obispo Basilio López,Obispo Basilio López,,-1.0,Male,
Obispo Marco Antonio Maíz,Obispo Marco Antonio Maíz,,-1.0,Male,
Oficial Mendez,Oficial Mendez,,-1.0,Male,
Optaciano Carvallo,Optaciano Carvallo,,-1.0,Male,
Oscar Aguilera,Oscar Aguilera,,-1.0,Male,
Oscar Cardozo Ocampo,Oscar Cardozo Ocampo,,-1.0,Male,
Pablo Alborno,Pablo Alborno,,-1.0,Male,
Pablo Alborno,Pablo Alborno,,-1.0,Male,
Pablo de la Cruz Gomez,Pablo de la Cruz Gomez,,-1.0,Male,
Pablo Max Ynsfran,Pablo Max Ynsfran,,-1.0,Male,
Pai Pérez,Pai Pérez,,-1.0,Male,
Pasaje Capitán Arturo Battilana de Gasperi,Capitán Arturo Battilana Gasperi,,-1.0,Male,
Patricio Colman,Patricio Colman,,-1.0,Male,
Pedro Ciancio,Pedro Ciancio,,-1.0,Male,
Pedro Getto,Pedro Getto,,-1.0,Male,
Pedro J. Cab,Pedro J. Cab,,-1.0,Male,
Pietro Getto,Pietro Getto,,-1.0,Male,
Presbiterio Molas,Presbiterio Molas,,-1.0,Male,
Presbítero Felipe Santiago León,Presbítero Felipe Santiago León,,-1.0,Male,
Presbítero Justo Román,Presbítero Justo Román,,-1.0,Male,
Presidente Manuel Franco,Presidente Manuel Franco,,-1.0,Male,
Presidente Rutherford Birchard Hayes,Presidente Rutherford Birchard Hayes,,-1.0,Male,
Prócer Agustín Yegros,Prócer Agustín Yegros,,-1.0,Male,
Prócer Agustín Yegros,Prócer Agustín Yegros,,-1.0,Male,
procer Blas Domingo Franco,procer Blas Domingo Franco,,-1.0,Male,
Procer Francisco Gonzalez,Procer Francisco Gonzalez,,-1.0,Male,
prócer Mariano Molas,prócer Mariano Molas,,-1.0,Male,
Prof. Dr. Victorio Curiel,Prof. Dr. Victorio Curiel,,-1.0,Male,
Prof.Dr Victorio Curiel,Prof.Dr Victorio Curiel,,-1.0,Male,
Profedor Doctor Victorino Curiel,Profedor Doctor Victorino Curiel,,-1.0,Male,
Profesor Alberto Bonifacio Cáceres,Profesor Alberto Bonifacio Cáceres,,-1.0,Male,
Profesor Cesar Samaniego,Profesor Cesar Samaniego,,-1.0,Male,
Profesor Cesar Vasconcellos,Profesor Cesar Vasconcellos,,-1.0,Male,
profesor Cesar Vasconcellos,profesor Cesar Vasconcellos,,-1.0,Male,
Profesor Cesar Vasconcellos,Profesor Cesar Vasconcellos,,-1.0,Male,
Profesor Doctor Victorio Curiel,Profesor Doctor Victorio Curiel,,-1.0,Male,
Ricardo Boettner,Ricardo Boettner,,-1.0,Male,
Ricardo Marreco Marengo,Ricardo Marreco Marengo,,-1.0,Male,
Rigoberto Caballero,Rigoberto Caballero,,-1.0,Male,
Robustiano Vera,Robustiano Vera,,-1.0,Male,
Roque Centurión Miranda,Roque Centurión Miranda,,-1.0,Male,
Ruta General Aquino,Ruta General Aquino,,-1.0,Male,
Ruta Mariscal Estigarribia,Ruta Mariscal Estigarribia,,-1.0,Male,
San Nicolas,San Nicolas,,-1.0,Male,
Santiago,Santiago,,-1.0,Male,
Santiago de Liniers,Santiago de Liniers,,-1.0,Male,
Santiago Leguizamon,Santiago Leguizamon,,-1.0,Male,
Santiago Leguizamón,Santiago Leguizamón,,-1.0,Male,
Santiago Maximo Leguizamon Zavan,Santiago Maximo Leguizamon Zavan,,-1.0,Male,
santo Tomas,santo Tomas,,-1.0,Male,
Sargento Silva,Sargento Silva,,-1.0,Male,
Sgto. Silva,Sgto. Silva,,-1.0,Male,
Soldado Ricardo Roman,Soldado Ricardo Roman,,-1.0,Male,
soldado Ricardo Roman,soldado Ricardo Roman,,-1.0,Male,
Stgo. Castro,Stgo. Castro,,-1.0,Male,
Te. Cnel. F. Smith,Te. Cnel. F. Smith,,-1.0,Male,
Teniente Ayala,Teniente Ayala,,-1.0,Male,
Teniente Bernardino Morales,Teniente Bernardino Morales,,-1.0,Male,
Teniente Coronel Isaías Jara Pastore,Teniente Coronel Isaías Jara Pastore,,-1.0,Male,
Teniente Francisco Cusmanich,Teniente Francisco Cusmanich,,-1.0,Male,
Teniente Gadea,Teniente Gadea,,-1.0,Male,
Teniente Héctor Vera,Teniente Héctor Vera,,-1.0,Male,
Teniente Héctor Vera,Teniente Héctor Vera,,-1.0,Male,
Teniente Pedro Kriskovich,Teniente Pedro Kriskovich,,-1.0,Male,
Teniente Primero Eduvigis Martinez,Teniente Primero Eduvigis Martinez,,-1.0,Male,
Teniente Rojas Silva,Teniente Rojas Silva,,-1.0,Male,
Teniente Rojas Silva,Teniente Rojas Silva,,-1.0,Male,
Tomas Herrera,Tomas Herrera,,-1.0,Male,
Tomás Ozuna,Tomás Ozuna,,-1.0,Male,
Tomas Rojas,Tomas Rojas,,-1.0,Male,
