calle,calle filtrada,calle filtrada2,fiabilidad,gender,wikipedia
Calle San Marcos Evangelista,San Marcos Evangelista,,-0.37,Male,
Calle San Pablo,San Pablo,,-0.5,Male,
Calle San Juan,San Juan,,-0.5,Male,
Calle San Fernando,San Fernando,,-0.44,Male,
Calle Santa Juana de Arco,Santa Juana Arco,,0.91,Female,
Calle San Sebastián,San Sebastián,,-0.5,Male,
Calle San Pedro,San Pedro,,-0.25,Male,
Calle Juan Roman,Juan Roman,,-1.0,Male,
Calle San Gerónimo,San Gerónimo,,0.25,Male,
Calle Tómas Gamboa,Tómas Gamboa,,-0.5,Male,
Calle Rio Madre de Dios,Rio Madre Dios,,-0.56,Male,
Calle San Antonio,San Antonio,,-0.5,Male,
Calle Diego Veizaga,Diego Veizaga,,-1.0,Male,
Calle Miguel Coca,Miguel Coca,,-1.0,Male,
Avenida Esteban Gonzales,Esteban Gonzales,,-1.0,Male,
Calle Juan Terrazas,Juan Terrazas,,-0.99,Male,
Calle Santa Catalina,Santa Catalina,,1.0,Female,
Calle San Carlos,San Carlos,,-0.46,Male,
Calle Ascencio de Galarza,Ascencio Galarza,,-0.49,Male,
Calle Tomas Gamboa,Tomas Gamboa,,-1.0,Male,
Calle Judas Tadeo,Judas Tadeo,,-0.5,Male,
Calle Diego Prado,Diego Prado,,-1.0,Male,
Calle Lucas Quiroz,Lucas Quiroz,,-0.5,Male,
Calle Tomás Gamboa,Tomás Gamboa,,-1.0,Male,
Avenida Pedro Olañeta,Pedro Olañeta,,-0.5,Male,
Calle Casimiro Olañeta,Casimiro Olañeta,,-0.5,Male,
Calle Bartolomé Colón,Bartolomé Colón,,-0.5,Male,
Calle Rafael Bustillo-Sud,Rafael Bustillo-Sud,,-0.5,Male,
Calle Blanco Galindo,Blanco Galindo,,-0.45,Male,
Calle Esteban Arze,Esteban Arze,,-0.5,Male,
Calle Daniel Salamanca,Daniel Salamanca,,-0.5,Male,
Calle Adela Zamudio,Adela Zamudio,,1.0,Female,https://es.wikipedia.org/wiki/Adela_Zamudio
Avenida Camilo Torrez,Camilo Torrez,,-1.0,Male,
Calle Diego Quic,Diego Quic,,-1.0,Male,
Avenida Zarate Wilka,Zarate Wilka,,1.0,Male,
Calle Miguel José Cabrera,Miguel José Cabrera,,-0.99,Male,
Calle José Maria Valda,José Maria Valda,,0.82,Male,
Calle Francisco Vidal,Francisco Vidal,,-0.5,Male,
Calle Nicolas de Cabrera,Nicolas Cabrera,,-1.0,Male,
Calle Manuel Mariano Centeno,Manuel Mariano Centeno,,-0.5,Male,
Calle Dionisio de la Borda,Dionisio Borda,,-0.5,Male,
Calle Melchor Paz,Melchor Paz,,-0.44,Male,
Calle Pablo de Meneses,Pablo Meneses,,-1.0,Male,
Calle Sebastian de Castilla,Sebastian Castilla,,-1.0,Male,
Calle Marianela Garcia,Marianela Garcia,,0.96,Female,
Calle M. Gandhi,M. Gandhi,,-0.42,Male,
Calle Manuel Tame,Manuel Tame,,-0.5,Male,
Calle Cristobal Ramirez,Cristobal Ramirez,,-1.0,Male,
Avenida Francisco de Borja,Francisco Borja,,-0.5,Male,
Calle Francisco de Almendras,Francisco Almendras,,-0.5,Male,
Calle Antonio de Mendoza,Antonio Mendoza,,-0.5,Male,
Calle Jose De la Serna,Jose De la Serna,,-0.49,Male,
Calle Hermana Maria Teresa,Hermana Maria Teresa,,0.5,Female,
Calle Manuel de Amat,Manuel Amat,,-0.5,Male,
Calle Luis de Velasco,Luis Velasco,,-0.5,Male,
Avenida Belisario Boeto,Belisario Boeto,,-0.5,Male,
Calle Dionisio Bobadilla,Dionisio Bobadilla,,-0.5,Male,
Calle Pedro Terrazas,Pedro Terrazas,,-1.0,Male,
Calle Mariano Guzmán,Mariano Guzmán,,-0.5,Male,
Pasaje M. Vargas,M. Vargas,,-0.38,Male,
Calle Alonso de Alvarado,Alonso Alvarado,,-0.5,Male,
Calle Lope de Mendieta,Lope Mendieta,,-0.49,Male,
Calle P. Alonso de Hinojosa,P. Alonso Hinojosa,,-0.27,Male,
Calle Francisco Carvajal,Francisco Carvajal,,-0.5,Male,
Calle Crispín Díez de Medina,Crispín Díez Medina,,0.98,Male,
Calle Juan de Sandoval,Juan Sandoval,,-0.5,Male,
Calle Blasco Núñez Vela,Blasco Núñez Vela,,0.58,Male,
Calle Juan de Mendoza,Juan Mendoza,,-0.5,Male,
Avenida Pedro de la Gasca,Pedro Gasca,,-0.5,Male,
Calle Andres Hurtado,Andres Hurtado,,-0.5,Male,
Calle Diego Fernandez,Diego Fernandez,,-1.0,Male,
Calle Pedro de Toledo,Pedro Toledo,,-0.5,Male,
Calle José M. Dalence,José M. Dalence,,-0.29,Male,
