calle;calleClean;name;surname;fiabilidad;gender;wikipedia;Revisado;;;;;;;;;;;;;;;;;;
Passeig de la Reina Joana;Reina Joana;Reina;Joana;2;Female;https://es.wikipedia.org/wiki/Juana_I_de_Castilla;VERDADERO;;;;;;;;;;;;;;;;;;
Jardins de Joan Fuster i Ortells;Joan Fuster i Ortells;Joan;Fuster;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Canonge Dorca;Canonge Dorca;Canonge;Dorca;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer dels Impressors Oliva;Impressors Oliva;Impressors;Oliva;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Joan Brossa;Joan Brossa;Joan;Brossa;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça d'Poeta Marquina;Poeta Marquina;Poeta;Marquina;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça del Poeta Marquina;Poeta Marquina;Poeta;Marquina;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Antònia Adroher i Pascual;Antònia Adroher i Pascual;Antònia;Adroher;2;Female;https://es.wikipedia.org/wiki/Ant%C3%B2nia_Adroher_Pascual;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de la Mare de Déu de Montserrat;Mare Déu de Montserrat;Mare;Déu;2;Female;https://ca.wikipedia.org/wiki/Mare_de_D%C3%A9u_de_Montserrat;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de la Mare de Déu del Pilar;Mare Déu Pilar;Mare;Déu;2;Female;https://ca.wikipedia.org/wiki/Mare_de_D%C3%A9u_del_Pilar;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Manel Quer;Manel Quer;Manel;Quer;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Plaça de Santa Susanna;Santa Susanna;Santa;Susanna;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge d'Emili Blanch i Roig;Emili Blanch i Roig;Emili;Blanch;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge d'Aristides Maillol;Aristides Maillol;Aristides;Maillol;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer dels Ginesta;Ginesta;Ginesta;;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Juli Garreta;Juli Garreta;Juli;Garreta;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Placeta de Joana de Jugan;Joana de Jugan;Joana;de;2;Female;https://es.wikipedia.org/wiki/Juana_Jugan;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Sant Joan Baptista de La Salle;Sant Joan Baptista de La Salle;Sant;Joan;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Cardenal Margarit;Cardenal Margarit;Cardenal;Margarit;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Planas i Castañer;Joan Planas i Castañer;Joan;Planas;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Manel Bonmatí i Romaguera;Manel Bonmatí i Romaguera;Manel;Bonmatí;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Passatge de Manel Bonmatí i Romaguera;Manel Bonmatí i Romaguera;Manel;Bonmatí;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Tarrús i Bru;Joan Tarrús i Bru;Joan;Tarrús;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Pau Vila i Dinarès;Pau Vila i Dinarès;Pau;Vila;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Maria Pou i Camps;Joan Maria Pou i Camps;Joan;Maria;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Roca i Pinet;Joan Roca i Pinet;Joan;Roca;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer del Cor de Maria;Cor Maria;Cor;Maria;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'Antic Roca;Antic Roca;Antic;Roca;2;Male;https://ca.wikipedia.org/wiki/Antic_Roca;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Bruguera;Joan Bruguera;Joan;Bruguera;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de la Mare de Déu de Loreto;Mare Déu de Loreto;Mare;Déu;2;Female;https://es.wikipedia.org/wiki/Virgen_de_Loreto;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Reglà;Joan Reglà;Joan;Reglà;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer de Joan Baptista Torroella i Bastons;Joan Baptista Torroella i Bastons;Joan;Baptista;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
Pujada de la Mercè;Pujada  Mercè;Pujada;;2;Female;;VERDADERO;;;;;;;;;;;;;;;;;;
Carrer d'en Mora;en Mora;en;Mora;2;Male;;VERDADERO;;;;;;;;;;;;;;;;;;
