Avenida Petra Zugarrondo,Petra Zugarrondo,Petra,Zugarrondo,2,Female,,verdadero,,,
Glorieta Juan José Hidalgo Acera,Glorieta Juan José Hidalgo Acera,Glorieta,Juan,-2,Male,,verdadero,,,
Calle Manuel Fernández Álvarez,Manuel Fernández Álvarez,Manuel,Fernández,-2,Male,,verdadero,,,
Glorieta Julio González,Glorieta Julio González,Glorieta,Julio,-2,Male,,verdadero,,,
Glorieta Tomás Francisco Prieto,Glorieta Tomás Francisco Prieto,Glorieta,Tomás,-2,Male,,verdadero,,,
Calle Luciano González Egido,Luciano González Egido,Luciano,González,-2,Male,,verdadero,,,
Calle Antonio Fernández Alba,Antonio Fernández Alba,Antonio,Fernández,-2,Male,,verdadero,,,
Calle Olegario González de Cardedal,Olegario González Cardedal,Olegario,González,-2,Male,,verdadero,,,
Avenida Juan de Álava,Juan Álava,Juan,Álava,-2,Male,,verdadero,,,
Calle Santiago Diego Madrazo,Santiago Diego Madrazo,Santiago,Diego,-2,Male,,verdadero,,,
Calle Abastos,Abastos,Abastos,,0,,,verdadero,,,
Calle Valle,Valle,Valle,,2,,,verdadero,,,
Paseo Luis Cortés,Luis Cortés,Luis,Cortés,-2,Male,,verdadero,,,
Paseo César Real de la Riva,César Real Riva,César,Real,-2,Male,,verdadero,,,
Calle Juan Ruiz Peña,Juan Ruiz Peña,Juan,Ruiz,-2,Male,,verdadero,,,
Calle del Lagar,Lagar,Lagar,,0,,,verdadero,,,
Calle Mariano Arés y Sanz,Mariano Arés y Sanz,Mariano,Arés,-2,Male,,verdadero,,,
Avenida Dolores Cebrián,Dolores Cebrián,Dolores,Cebrián,2,Female,https://es.wikipedia.org/wiki/Dolores_Cebri%C3%A1n_Fern%C3%A1ndez_de_Villegas,verdadero,,,
Calle Madame Alicia Docteur,Madame Alicia Docteur,Madame,Alicia,2,Female,,verdadero,,,
Glorieta Inés de Alimógenes,Glorieta Inés de Alimógenes,Glorieta,Inés,2,Female,,verdadero,,,
Paseo Alejandro Carnicero,Alejandro Carnicero,Alejandro,Carnicero,-2,Male,,verdadero,,,
